experimento,tamanho_populacao,numero_geracoes,taxa_mutacao,taxa_crossover,fitness,tempo_total_segundos,hiperparametros,accuracy,recall_maligno,f1_maligno,roc_auc,especificidade_benigno,tn,fp,fn,tp
GA_RF_01_pop10_mut10,10,8,0.1,0.7,0.9692390320032369,41.07034134864807,"{'n_estimators': 150, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': None}",0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9923026531280709,0.9859154929577465,70,1,2,41
GA_RF_02_pop20_mut20,20,12,0.2,0.8,0.9692799753376621,98.26330995559692,"{'n_estimators': 150, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': None}",0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9924664264657713,0.9859154929577465,70,1,2,41
GA_RF_03_pop30_mut30,30,15,0.3,0.85,0.9693618620065124,184.9412214756012,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}",0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41
